anomaly,doc_id
1,DOC_00012
2,DOC_00081
3,DOC_00105
4,DOC_00146
5,DOC_00211
6,DOC_00215
7,DOC_00296
8,DOC_00314
9,DOC_00341
10,DOC_00359
11,DOC_00390
12,DOC_00416
13,DOC_00451
14,DOC_00473
15,DOC_00501
16,DOC_00576
17,DOC_00642
18,DOC_00677
19,DOC_00707
20,DOC_00879
21,DOC_00881
22,DOC_00883
23,DOC_01048
24,DOC_01069
25,DOC_01136
26,DOC_01208
27,DOC_01246
28,DOC_01254
29,DOC_01267
30,DOC_01405
31,DOC_01435
32,DOC_01451
33,DOC_01453
34,DOC_01470
35,DOC_01525
36,DOC_01555
37,DOC_01565
38,DOC_01585
39,DOC_01650
40,DOC_01698
41,DOC_01743
42,DOC_01752
43,DOC_01808
44,DOC_01902
45,DOC_01928
46,DOC_01983
47,DOC_02034
48,DOC_02050
49,DOC_02118
50,DOC_02140
