doc_id,label
DOC_00001,0
DOC_00002,1
DOC_00003,1
DOC_00004,4
DOC_00005,3
DOC_00006,5
DOC_00007,0
DOC_00008,4
DOC_00009,0
DOC_00010,4
DOC_00011,2
DOC_00012,6
DOC_00013,5
DOC_00014,5
DOC_00015,0
DOC_00016,0
DOC_00017,3
DOC_00018,5
DOC_00019,0
DOC_00020,3
DOC_00021,0
DOC_00022,5
DOC_00023,0
DOC_00024,2
DOC_00025,5
DOC_00026,3
DOC_00027,5
DOC_00028,5
DOC_00029,4
DOC_00030,0
DOC_00031,4
DOC_00032,0
DOC_00033,3
DOC_00034,0
DOC_00035,0
DOC_00036,3
DOC_00037,4
DOC_00038,1
DOC_00039,1
DOC_00040,2
DOC_00041,4
DOC_00042,3
DOC_00043,2
DOC_00044,1
DOC_00045,0
DOC_00046,1
DOC_00047,0
DOC_00048,4
DOC_00049,4
DOC_00050,3
DOC_00051,2
DOC_00052,0
DOC_00053,1
DOC_00054,0
DOC_00055,4
DOC_00056,2
DOC_00057,0
DOC_00058,0
DOC_00059,1
DOC_00060,0
DOC_00061,3
DOC_00062,2
DOC_00063,3
DOC_00064,0
DOC_00065,0
DOC_00066,3
DOC_00067,2
DOC_00068,0
DOC_00069,0
DOC_00070,1
DOC_00071,1
DOC_00072,4
DOC_00073,3
DOC_00074,4
DOC_00075,2
DOC_00076,1
DOC_00077,4
DOC_00078,3
DOC_00079,4
DOC_00080,1
DOC_00081,6
DOC_00082,3
DOC_00083,4
DOC_00084,4
DOC_00085,0
DOC_00086,2
DOC_00087,3
DOC_00088,2
DOC_00089,2
DOC_00090,4
DOC_00091,3
DOC_00092,3
DOC_00093,1
DOC_00094,2
DOC_00095,1
DOC_00096,4
DOC_00097,4
DOC_00098,2
DOC_00099,4
DOC_00100,3
DOC_00101,2
DOC_00102,1
DOC_00103,0
DOC_00104,2
DOC_00105,6
DOC_00106,0
DOC_00107,0
DOC_00108,3
DOC_00109,0
DOC_00110,3
DOC_00111,1
DOC_00112,0
DOC_00113,5
DOC_00114,2
DOC_00115,0
DOC_00116,0
DOC_00117,2
DOC_00118,3
DOC_00119,3
DOC_00120,0
DOC_00121,5
DOC_00122,0
